name, time, value
rand-7-20-160-10.34.ssat, 0.235466, 0.689556
rand-7-20-160-10.35.ssat, 0.218035, 0.692528
rand-7-20-180-10.36.ssat, 0.278439, 0.62282
rand-7-20-180-10.37.ssat, 0.270691, 0.627609
rand-7-20-180-10.38.ssat, 0.22634, 0.649856
rand-7-20-180-10.39.ssat, 0.232119, 0.670305
rand-7-20-180-10.40.ssat, 0.285103, 0.678879
rand-7-30-180-15.41.ssat, 25.9966, 0.772742
rand-7-30-180-15.42.ssat, 25.9746, 0.751561
rand-7-30-180-15.43.ssat, 19.3416, 0.768731
rand-7-30-180-15.44.ssat, 23.3803, 0.812644
rand-7-30-180-15.45.ssat, 19.4282, 0.747109
rand-7-30-210-15.46.ssat, 36.5009, 0.729805
rand-7-30-210-15.47.ssat, 30.7344, 0.741148
rand-7-30-210-15.48.ssat, 35.7729, 0.748563
rand-7-30-210-15.49.ssat, 34.1867, 0.687601
rand-7-30-210-15.50.ssat, 27.5154, 0.761588
rand-7-30-240-15.51.ssat, 34.4115, 0.576369
rand-7-30-240-15.52.ssat, 33.5036, 0.565134
rand-7-30-240-15.53.ssat, 40.5616, 0.575341
rand-7-30-240-15.54.ssat, 39.6842, 0.675816
rand-7-30-240-15.55.ssat, 37.8173, 0.654945
rand-7-30-270-15.56.ssat, 52.6912, 0.540554
rand-7-30-270-15.57.ssat, 62.0106, 0.59611
rand-7-30-270-15.58.ssat, 52.4657, 0.541487
rand-7-30-270-15.59.ssat, 36.6819, 0.543585
rand-7-30-270-15.60.ssat, 34.6391, 0.522485
rand-7-40-240-20.61.ssat, -, -
rand-7-40-240-20.62.ssat, -, -
rand-7-40-240-20.63.ssat, -, -
rand-7-40-240-20.64.ssat, -, -
rand-7-40-240-20.65.ssat, -, -
rand-7-40-280-20.66.ssat, -, -
rand-7-40-280-20.67.ssat, -, -
rand-7-40-280-20.68.ssat, -, -
rand-7-40-280-20.69.ssat, -, -
rand-7-40-280-20.70.ssat, -, -
rand-7-40-320-20.71.ssat, -, -
rand-7-40-320-20.72.ssat, -, -
rand-7-40-320-20.73.ssat, -, -
rand-7-40-320-20.74.ssat, -, -
rand-7-40-320-20.75.ssat, -, -
rand-7-40-360-20.76.ssat, -, -
rand-7-40-360-20.77.ssat, -, -
rand-7-40-360-20.78.ssat, -, -
rand-7-40-360-20.79.ssat, -, -
rand-7-40-360-20.80.ssat, -, -
rand-7-50-300-25.81.ssat, -, -
rand-7-50-300-25.82.ssat, -, -
rand-7-50-300-25.83.ssat, -, -
rand-7-50-300-25.84.ssat, -, -
rand-7-50-300-25.85.ssat, -, -
rand-7-50-350-25.86.ssat, -, -
rand-7-50-350-25.87.ssat, -, -
rand-7-50-350-25.88.ssat, -, -
rand-7-50-350-25.89.ssat, -, -
rand-7-50-350-25.90.ssat, -, -
rand-7-50-400-25.91.ssat, -, -
rand-7-50-400-25.92.ssat, -, -
rand-7-50-400-25.93.ssat, -, -
rand-7-50-400-25.94.ssat, -, -
rand-7-50-400-25.95.ssat, -, -
rand-7-50-450-25.100.ssat, -, -
rand-7-50-450-25.96.ssat, -, -
rand-7-50-450-25.97.ssat, -, -
rand-7-50-450-25.98.ssat, -, -
