benchmark	our_p	dcs_p	our_t	dcs_t
rand-6-20-120-10.128.sdimacs	9.980469e-01	0.998047	0.01	0.0349579
rand-6-20-120-10.129.sdimacs	9.609375e-01	0.960938	0.01	0.030463
rand-6-20-140-10.130.sdimacs	9.970703e-01	0.99707	0.01	0.054162
rand-6-20-140-10.131.sdimacs	9.912109e-01	0.991211	0.01	0.0659182
rand-6-20-140-10.132.sdimacs	9.843750e-01	0.984375	0.01	0.0389462
rand-6-20-140-10.133.sdimacs	9.843750e-01	0.984375	0.01	0.0599999
rand-6-20-140-10.134.sdimacs	9.941406e-01	0.994141	0.01	0.049593
rand-6-20-160-10.135.sdimacs	9.667969e-01	0.966797	0.01	0.053097
rand-6-20-160-10.136.sdimacs	9.970703e-01	0.99707	0.01	0.050487
rand-6-20-160-10.137.sdimacs	9.775391e-01	0.977539	0.01	0.0811341
rand-6-20-160-10.138.sdimacs	9.814453e-01	0.981445	0.01	0.0447509
rand-6-20-160-10.139.sdimacs	9.814453e-01	0.981445	0.01	0.0516398
rand-6-30-150-15.140.sdimacs	1.000000e+00	1	0.03	1.35043
